"","abundance_estimates","LCI_delta","UCI_delta","CI_width_delta","coverage_prob_delta","sumcount","sim_id","MaxN_max","MaxN_mean","MeanCount","imp_sd","speed","overall_population_mean","N_vids","R_max","theta_diff","gamma_diff","vid_length","skipper","N_stops","z_max","area","N_sims","schooling"
"1",1082.5072007581,617.569471172778,1897.47371654855,1279.90424537577,TRUE,45,1,2,1.2,0.1125,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"2",848.593203536565,434.840390316523,1656.03389456135,1221.19350424483,TRUE,33,2,1,1,0.0825,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"3",1417.98685946792,782.89205593789,2568.28092503113,1785.38886909324,TRUE,59,3,2,1.3,0.1475,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"4",840.375808960016,448.558184992734,1574.44791760213,1125.8897326094,TRUE,34,4,2,1.1,0.085,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"5",911.615811202998,483.188615946429,1719.91508038227,1236.72646443584,TRUE,36,5,2,1,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"6",738.619870663762,363.759450247311,1499.78045372688,1136.02100347957,TRUE,32,6,2,1,0.08,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"7",1991.70033130131,1299.6142928302,3052.3442467434,1752.7299539132,FALSE,60,7,2,1.2,0.15,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"8",876.018831750086,490.396478130094,1564.87460209126,1074.47812396116,TRUE,48,8,3,1.3,0.12,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"9",928.731398298339,427.129103901779,2019.39414173831,1592.26503783653,TRUE,24,9,1,0.9,0.06,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"10",985.256269235779,562.701209538761,1725.12498571685,1162.42377617809,TRUE,34,10,1,0.9,0.085,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"11",1330.8372008611,657.767705412083,2692.63395059237,2034.86624518029,TRUE,36,11,3,1.2,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"12",1289.75789260553,665.047556120622,2501.28792479398,1836.24036867336,TRUE,33,12,2,1.1,0.0825,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"13",1741.38106652839,1047.19721424127,2895.73728579924,1848.54007155797,FALSE,46,13,2,1.2,0.115,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"14",983.817870656825,568.573753818808,1702.32550504288,1133.75175122407,TRUE,39,14,2,1.2,0.0975,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"15",857.81569505902,407.684909410992,1804.94237020623,1397.25746079524,TRUE,29,15,2,1.1,0.0725,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"16",1388.20255593204,728.764165018274,2644.34837605925,1915.58421104098,TRUE,42,16,2,1.3,0.105,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"17",1117.00767537316,662.738890555515,1882.65116869286,1219.91227813735,TRUE,30,17,2,1,0.075,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"18",1420.43786824464,764.65740025325,2638.62448316742,1873.96708291417,TRUE,34,18,2,1.1,0.085,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"19",1020.42011633491,436.554957153604,2385.16868668745,1948.61372953384,TRUE,28,19,2,1.2,0.07,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"20",1170.86347658364,545.361858194811,2513.78284014098,1968.42098194617,TRUE,30,20,2,0.9,0.075,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"21",1541.69406856808,790.787150842659,3005.63887327363,2214.85172243097,TRUE,34,21,1,0.8,0.085,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"22",2418.35954275472,1222.28444142254,4784.86240995276,3562.57796853022,FALSE,44,22,2,1.2,0.11,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"23",524.351071197338,297.121368182122,925.359382759934,628.238014577812,FALSE,32,23,2,1.1,0.08,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"24",1006.89592079276,624.397587409957,1623.70805997917,999.310472569212,TRUE,34,24,1,1,0.085,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"25",1140.84545524351,565.601700843434,2301.13938980189,1735.53768895845,TRUE,45,25,3,1.2,0.1125,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"26",1016.89287325904,578.186597848785,1788.47299389575,1210.28639604697,TRUE,39,26,2,1,0.0975,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"27",1225.10189445515,688.114177753637,2181.14188069375,1493.02770294011,TRUE,40,27,2,1.2,0.1,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"28",952.299594466976,512.893149845339,1768.15486402077,1255.26171417543,TRUE,32,28,2,1,0.08,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"29",666.196335159528,418.962672777674,1059.32481773979,640.36214496212,TRUE,31,29,1,1,0.0775,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"30",787.678505345822,379.145900625075,1636.40811297432,1257.26221234925,TRUE,31,30,2,1.1,0.0775,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"31",1157.36442240774,602.936694683134,2221.61367531157,1618.67698062844,TRUE,44,31,2,1.2,0.11,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"32",2018.66792426548,1210.52369068838,3366.32832533908,2155.8046346507,FALSE,51,32,2,1.3,0.1275,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"33",1018.36605474748,599.718259240739,1729.26104130115,1129.54278206041,TRUE,39,33,1,1,0.0975,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"34",868.273791747238,448.785552767244,1679.86552326947,1231.07997050223,TRUE,43,34,2,1.1,0.1075,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"35",1288.22850407996,732.443884975831,2265.74719615395,1533.30331117812,TRUE,53,35,2,1.2,0.1325,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"36",456.144299258122,204.569611762377,1017.09936267254,812.529750910165,TRUE,21,36,1,0.8,0.0525,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"37",1086.65738389131,666.818472956816,1770.83316952736,1104.01469657054,TRUE,40,37,2,1.2,0.1,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"38",1299.30149687899,645.798165589204,2614.10525725441,1968.30709166521,TRUE,42,38,2,1.4,0.105,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"39",1211.61535285934,593.818902385387,2472.15398059478,1878.33507820939,TRUE,34,39,2,1,0.085,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"40",1140.77997027022,454.736803578189,2861.82893121816,2407.09212763997,TRUE,38,40,2,1.1,0.095,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"41",777.454792980865,416.282863519993,1451.98375455081,1035.70089103081,TRUE,36,41,2,1.1,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"42",907.59137561698,419.173058180716,1965.11223471618,1545.93917653546,TRUE,32,42,2,1.1,0.08,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"43",748.655940310588,407.990125670735,1373.77275011471,965.782624443973,TRUE,36,43,2,1.1,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"44",1474.17695708338,769.790027040859,2823.1045148111,2053.31448777024,TRUE,33,44,2,1,0.0825,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"45",889.898864538361,456.042239769446,1736.50578838272,1280.46354861328,TRUE,36,45,2,1,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"46",683.708632429821,282.381251807697,1655.41264183288,1373.03139002519,TRUE,23,46,2,1.1,0.0575,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"47",996.319114024393,443.422678895026,2238.61300789568,1795.19032900065,TRUE,30,47,1,0.9,0.075,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"48",1103.71244627539,589.313271156324,2067.11985574826,1477.80658459194,TRUE,39,48,1,0.9,0.0975,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"49",954.595680033174,567.00375498362,1607.1373502003,1040.13359521668,TRUE,36,49,2,1.2,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"50",1174.41165407757,569.92152698598,2420.0572674054,1850.13574041942,TRUE,38,50,2,1.1,0.095,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"51",808.718134793534,432.953494212057,1510.61264151294,1077.65914730088,TRUE,35,51,2,1.1,0.0875,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"52",1480.37831237688,790.653519942064,2771.78295230558,1981.12943236352,TRUE,41,52,2,1.2,0.1025,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"53",793.611403577386,356.177023777423,1768.27537388163,1412.09835010421,TRUE,36,53,1,1,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"54",825.852434404278,361.566586637396,1886.32542004071,1524.75883340331,TRUE,35,54,2,1,0.0875,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"55",1701.39822829625,1044.3247976719,2771.89236308749,1727.56756541559,FALSE,52,55,2,1.1,0.13,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"56",871.926208833381,422.425356288276,1799.73882328155,1377.31346699328,TRUE,30,56,1,1,0.075,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"57",1201.93892542742,663.426051620346,2177.57077360651,1514.14472198617,TRUE,39,57,2,1,0.0975,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"58",1191.33990171068,691.963186489246,2051.1073264012,1359.14413991196,TRUE,54,58,3,1.3,0.135,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"59",490.631322291922,208.330495309526,1155.46739355788,947.13689824835,TRUE,22,59,2,1,0.055,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"60",1575.22381400836,888.336830053603,2793.23110364492,1904.89427359132,TRUE,41,60,2,1.2,0.1025,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"61",566.801462029493,276.59259381895,1161.50578337272,884.913189553768,TRUE,33,61,2,1.2,0.0825,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"62",835.982257295982,500.62480257493,1395.98823493985,895.363432364918,TRUE,41,62,2,1.3,0.1025,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"63",1313.43068949624,679.345384400556,2539.35658609465,1860.0112016941,TRUE,44,63,2,1.2,0.11,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"64",1079.5638655315,508.982386965227,2289.7808835985,1780.79849663327,TRUE,36,64,3,1.4,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"65",474.152505376371,199.888073311386,1124.73242965559,924.844356344202,TRUE,32,65,2,1.1,0.08,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"66",1210.5139280997,734.524394075213,1994.95616747798,1260.43177340277,TRUE,43,66,2,1.2,0.1075,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"67",705.392947895368,364.541222870434,1364.94634824158,1000.40512537114,TRUE,29,67,2,1.1,0.0725,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"68",777.985781048755,383.989023270054,1576.24785823205,1192.258834962,TRUE,35,68,1,1,0.0875,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"69",1208.63739035654,714.428658409566,2044.71688554581,1330.28822713624,TRUE,42,69,3,1.2,0.105,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"70",931.0207681673,511.294917094768,1695.30273385872,1184.00781676395,TRUE,35,70,2,1,0.0875,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"71",925.664874337994,494.257484842738,1733.62161597979,1239.36413113705,TRUE,39,71,2,1,0.0975,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"72",1720.3167795712,989.614207461208,2990.54904402253,2000.93483656132,TRUE,41,72,2,1.1,0.1025,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"73",922.84791344512,490.382645428175,1736.70149074382,1246.31884531565,TRUE,40,73,2,1.2,0.1,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"74",883.587757670719,547.840290933055,1425.10023163114,877.259940698089,TRUE,37,74,2,1.2,0.0925,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"75",730.591588682295,410.085612392881,1301.59179771942,891.50618532654,TRUE,36,75,1,1,0.09,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"76",701.408666365368,299.594080775247,1642.13563892645,1342.54155815121,TRUE,32,76,1,1,0.08,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"77",1021.1673382655,515.282469743108,2023.71086534367,1508.42839560057,TRUE,35,77,2,1.1,0.0875,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"78",814.27934890841,427.990112180724,1549.22003847305,1121.22992629232,TRUE,33,78,2,1,0.0825,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"79",1689.43415284751,958.159070921645,2978.82454325894,2020.6654723373,TRUE,47,79,2,1.1,0.1175,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"80",1290.90500052529,643.733432190776,2588.70463618756,1944.97120399679,TRUE,40,80,2,1.1,0.1,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"81",936.05474127086,518.494611093751,1689.88926771551,1171.39465662176,TRUE,32,81,2,1.2,0.08,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"82",906.270216057511,468.221137161091,1754.14059581499,1285.91945865389,TRUE,35,82,1,1,0.0875,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"83",950.723029288018,509.060838771884,1775.57220979558,1266.5113710237,TRUE,38,83,2,1.2,0.095,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"84",988.420251982741,634.669829989025,1539.34305424053,904.673224251507,TRUE,42,84,2,1.1,0.105,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"85",798.74104031531,431.950549282785,1476.99140687124,1045.04085758845,TRUE,34,85,2,1,0.085,3.268312,10,1000,10,16,51.99647,26.56505118,1200,30,40,1,100000,1000,1
