"","abundance_estimates","LCI_delta","UCI_delta","CI_width_delta","coverage_prob_delta","sumcount","sim_id","MaxN_max","MaxN_mean","MeanCount","imp_sd","speed","overall_population_mean","N_vids","R_max","theta_diff","gamma_diff","vid_length","skipper","N_stops","z_max","area","N_sims","schooling"
"1",1127.3572406092,843.116341780989,1507.42463996047,664.308298179482,TRUE,115,1,4,1.9,0.2875,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"2",1137.43800403596,719.866833537565,1797.22853276556,1077.361699228,TRUE,103,2,3,1.6,0.2575,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"3",831.112691550164,577.411457188981,1196.28437824655,618.872921057573,TRUE,93,3,3,1.7,0.2325,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"4",1325.0686381362,934.24338648207,1879.38916258609,945.14577610402,TRUE,127,4,4,2.1,0.3175,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"5",785.412032102319,563.738260141084,1094.25260584001,530.514345698926,TRUE,91,5,3,1.6,0.2275,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"6",1270.01114248379,818.926647464502,1969.56382726926,1150.63717980476,TRUE,110,6,4,1.8,0.275,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"7",815.901094559012,543.288122327018,1225.30673641692,682.018614089903,TRUE,77,7,3,1.6,0.1925,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"8",1047.27950675359,683.044325652208,1605.74405507106,922.699729418847,TRUE,107,8,3,1.7,0.2675,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"9",547.72986687829,370.94623675035,808.764120910645,437.817884160295,FALSE,74,9,2,1.3,0.185,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"10",759.826035017893,524.883860033297,1099.93018923155,575.046329198255,TRUE,84,10,3,1.6,0.21,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"11",1136.20890194672,744.437262547574,1734.15643441205,989.71917186448,TRUE,104,11,2,1.7,0.26,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"12",874.147882228015,650.053321181144,1175.49514032987,525.441819148722,TRUE,103,12,3,1.6,0.2575,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"13",1113.44958742788,761.066663754552,1628.98999888813,867.923335133579,TRUE,110,13,3,2.1,0.275,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"14",820.89852945645,567.405767834348,1187.64107428054,620.235306446196,TRUE,84,14,3,1.8,0.21,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"15",1102.14024427113,801.07326246079,1516.35708613042,715.283823669633,TRUE,108,15,3,1.9,0.27,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"16",1321.51746233455,964.549912604267,1810.59412315936,846.044210555094,TRUE,121,16,2,1.8,0.3025,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"17",688.866551585605,479.734415988236,989.166318026011,509.431902037774,FALSE,88,17,2,1.4,0.22,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"18",1376.31531331105,981.610516942368,1929.73058963845,948.120072696086,TRUE,111,18,2,1.7,0.2775,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"19",888.769956386869,605.460336888173,1304.64703837703,699.186701488861,TRUE,94,19,2,1.5,0.235,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"20",1331.73113086064,837.140926242447,2118.52956809058,1281.38864184813,TRUE,125,20,3,1.9,0.3125,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"21",1193.37148666076,796.778464301816,1787.36696457129,990.588500269476,TRUE,113,21,3,1.8,0.2825,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"22",1041.73145770316,707.126323496792,1534.6684091775,827.542085680709,TRUE,96,22,3,1.8,0.24,5.311007,10,1000,10,23,51.99647,26.56505118,1200,30,40,1,100000,1000,1
