"","abundance_estimates","LCI_delta","UCI_delta","CI_width_delta","coverage_prob_delta","sumcount","sim_id","MaxN_max","MaxN_mean","MeanCount","imp_sd","speed","overall_population_mean","N_vids","R_max","theta_diff","gamma_diff","vid_length","skipper","N_stops","z_max","area","N_sims","schooling"
"1",887.602471732582,647.325237488129,1217.06694285998,569.741705371853,TRUE,108,1,2,1.8,0.27,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"2",846.342853436732,580.281519265959,1234.39434443738,654.11282517142,TRUE,119,2,3,1.8,0.2975,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"3",982.833285788074,666.476039454901,1449.356331614,782.880292159098,TRUE,144,3,3,2.1,0.36,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"4",772.975905679453,577.51176259745,1034.59667743157,457.084914834118,TRUE,112,4,3,1.6,0.28,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"5",932.395580978182,670.304688012486,1296.96470123964,626.660013227151,TRUE,135,5,4,2.1,0.3375,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"6",1239.44940624882,863.373988526523,1779.33879299789,915.964804471367,TRUE,178,6,3,2.2,0.445,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"7",935.505577580187,673.661492835794,1299.12529510866,625.463802272864,TRUE,141,7,4,2.2,0.3525,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"8",1373.47437669672,976.059908041539,1932.70090073422,956.640992692682,TRUE,156,8,3,2.1,0.39,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"9",1003.2859230348,786.470302716101,1279.87368357524,493.403380859141,TRUE,124,9,2,1.7,0.31,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"10",1205.24387056981,863.445751005534,1682.34401044239,818.898259436858,TRUE,168,10,3,1.9,0.42,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"11",997.346951200815,744.22307197607,1336.56289159166,592.339819615587,TRUE,179,11,5,2.4,0.4475,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"12",1087.6064282632,781.198032453804,1514.19703283673,732.999000382923,TRUE,144,12,3,1.9,0.36,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"13",1331.71296958365,888.790727076477,1995.36221444477,1106.5714873683,TRUE,155,13,3,2.1,0.3875,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"14",650.812363175386,423.13339444336,1001.00048264715,577.867088203789,TRUE,110,14,4,2,0.275,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"15",881.657379915974,634.206025121086,1225.65807445915,591.452049338061,TRUE,129,15,3,1.8,0.3225,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"16",1185.96963112427,822.270015623739,1710.5378272636,888.267811639865,TRUE,151,16,4,2.3,0.3775,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"17",1057.12497506939,750.998674280419,1488.03619924659,737.037524966174,TRUE,139,17,3,1.8,0.3475,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
"18",1278.32884410306,924.090928722942,1768.35913314738,844.268204424434,TRUE,151,18,5,2,0.3775,6.128085,10,1000,10,25,51.99647,26.56505118,1200,30,40,1,100000,1000,1
