"","Sample.Label","step_id","distance","distance_abs","Effort","in_vid","in_angle","Region.Label","Area","N_pop"
"60",1,29,4.28274430576044,4.39711460349929,40,TRUE,TRUE,"Sims",10000,1952
"61",1,30,4.34259730091145,4.43480976974673,40,TRUE,TRUE,"Sims",10000,1952
"62",1,30,3.58219220279187,3.61070946530232,40,TRUE,TRUE,"Sims",10000,1952
"63",1,30,3.70753403235181,3.83907888025632,40,TRUE,TRUE,"Sims",10000,1952
"64",1,31,3.82299800079642,3.93300277691301,40,TRUE,TRUE,"Sims",10000,1952
"65",1,31,4.9288171202697,4.92882233878391,40,TRUE,TRUE,"Sims",10000,1952
"66",1,31,3.64461214777359,3.65054915030256,40,TRUE,TRUE,"Sims",10000,1952
"67",1,32,2.92115907788525,2.94894378361623,40,TRUE,TRUE,"Sims",10000,1952
"68",1,32,4.37791535457995,4.37834257536823,40,TRUE,TRUE,"Sims",10000,1952
"69",1,33,4.93749017171554,4.9858095050269,40,TRUE,TRUE,"Sims",10000,1952
"70",1,33,4.77402090304795,4.85798376602208,40,TRUE,TRUE,"Sims",10000,1952
"71",1,33,3.6758305727144,3.69264067430502,40,TRUE,TRUE,"Sims",10000,1952
"72",1,34,2.39949846054265,2.52122909408988,40,TRUE,TRUE,"Sims",10000,1952
"73",1,34,4.71270372677861,4.72367809978597,40,TRUE,TRUE,"Sims",10000,1952
"74",1,34,1.80300726133573,1.97606782358413,40,TRUE,TRUE,"Sims",10000,1952
"75",1,36,4.00538501062199,4.08621070703536,40,TRUE,TRUE,"Sims",10000,1952
"76",1,39,4.07432606914921,4.08528319409954,40,TRUE,TRUE,"Sims",10000,1952
"77",1,40,2.49590494519932,2.51105683903531,40,TRUE,TRUE,"Sims",10000,1952
"78",1,40,3.54177402113397,3.54478145655625,40,TRUE,TRUE,"Sims",10000,1952
"79",2,1,2.43310238590548,2.46543142686928,40,TRUE,TRUE,"Sims",10000,1952
"80",2,3,1.6143722274475,1.71251096092183,40,TRUE,TRUE,"Sims",10000,1952
