"","OpCode","ImagePtPair","FilenameLeft","FrameLeft","FilenameRight","FrameRight","Time","Period","PeriodTime","X","Y","Z","sX","sY","sZ","RMS","Range","Direction","Family","Genus","Species","Code","Number","Stage","Activity","Comment","Attribute9","Attribute10","site_habitat","site","habitat","Family_Genus_Species","height","height_alt","plane_dist","original_dist","gamma_naive","gamma","height_top_point","top_plane_dist","theta","theta_angle_L","theta_angle_R","theta_angle_LR_min","theta_cut_off","height_buffer","left_trunc","left_trunc_gamma_min","left_trunc_height_max"
"11","JYA01___Mar16",679,"JYA01_L1_GP019787.MP4",3733,"JYA01_R2_GP019855.MP4",3168,21.97139,NA,-1,-312.76592,-309.89396,-1222.28913,1.01617,1.03994,3.59909,0.12209,1299.17186,19.88593,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.0696133652432986,0.0696133652432986,1.26038712777209,1.29917185332583,30.0951902039626,19.2128562695586,0.972985574375087,1.78767921501376,56.3939803815525,14.829059306336,41.5649210752166,14.829059306336,2.19875362423969,0.780064506085512,1.23408536291619,1.76258526957637,3.19223652765451
"12","JYA01___Mar16",688,"JYA01_L1_GP019787.MP4",4632,"JYA01_R2_GP019855.MP4",4067,22.47134,NA,-1,872.04643,-228.73184,-1948.65063,3.96005,1.32664,9.03007,1.9541,2147.0963,24.85519,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.3020258218931,0.3020258218931,2.11688228851175,2.14709629697993,30.0951902039626,19.2128562695586,0.972985574375087,1.78767921501376,56.3939803815525,53.1619041677623,3.23207621379043,3.23207621379043,2.19875362423969,0.780064506085512,1.23408536291619,1.76258526957637,3.19223652765451
"13","JYA01___Mar16",705,"JYA01_L1_GP019787.MP4",4632,"JYA01_R2_GP019855.MP4",4067,22.47134,NA,-1,86.25639,-20.89591,-3065.37505,1.43916,1.30568,21.51905,1.91169,3066.65959,1.68702,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.486883607969266,0.486883607969266,3.04552429251909,3.06665958349359,30.0951902039626,19.2128562695586,0.972985574375087,1.78767921501376,56.3939803815525,30.3196545584412,26.0743258231113,26.0743258231113,2.19875362423969,0.780064506085512,1.23408536291619,1.76258526957637,3.19223652765451
"14","JYA01___Mar16",766,"JYA01_L1_GP019787.MP4",6430,"JYA01_R2_GP019855.MP4",5865,23.47123,NA,-1,687.09606,-25.4615,-3684.27568,5.94075,1.57269,31.26448,3.11446,3747.88428,10.57559,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.57166357241137,0.57166357241137,3.71813317134649,3.7478842791486,30.0951902039626,19.2128562695586,0.972985574375087,1.78767921501376,56.3939803815525,39.4105823276155,16.983398053937,16.983398053937,2.19875362423969,0.780064506085512,1.23408536291619,1.76258526957637,3.19223652765451
"15","JYA01___Mar16",780,"JYA01_L1_GP019787.MP4",6430,"JYA01_R2_GP019855.MP4",5865,23.47123,NA,-1,-732.14162,-423.85872,-4589.15776,7.91513,4.80961,48.70228,0.93738,4666.48224,10.49924,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.0815248584416456,0.0815248584416455,4.64706456872299,4.66648224173461,30.0951902039626,19.2128562695586,0.972985574375087,1.78767921501376,56.3939803815525,20.3804881770523,36.0134922045002,20.3804881770523,2.19875362423969,0.780064506085512,1.23408536291619,1.76258526957637,3.19223652765451
"16","JYA01___Mar16",798,"JYA01_L1_GP019787.MP4",7329,"JYA01_R2_GP019855.MP4",6764,23.97117,NA,-1,-330.5837,-456.94506,-1482.23145,1.28793,1.7158,5.24886,2.01146,1585.90493,20.9192,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.0654630103490999,0.0654630103490999,1.52100213484703,1.58590492840309,30.0951902039626,19.2128562695586,0.972985574375087,1.78767921501376,56.3939803815525,17.2228204695354,39.1711599120172,17.2228204695354,2.19875362423969,0.780064506085512,1.23408536291619,1.76258526957637,3.19223652765451
"17","JYA04___Mar16",1,"JYA04_JYA04_L7_GOPR9897.MP4",16238,"JYA04_JYA04_R8_GOPR9895.MP4",15847,9.03013,NA,-1,-312.88861,-12.56499,-1856.65687,1.52796,0.82835,8.03654,1.35826,1882.87862,9.72158,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.193113332093291,0.193113332093291,1.90306164958665,1.8828786190723,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,19.9863784615599,38.8754604173419,19.9863784615599,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"18","JYA04___Mar16",2,"JYA04_JYA04_L7_GOPR9897.MP4",17137,"JYA04_JYA04_R8_GOPR9895.MP4",16746,9.53008,NA,-1,288.634,341.2426,-3564.83385,2.77895,3.83054,28.9493,1.35483,3592.74219,6.17347,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.298118849804788,0.298118849804788,3.63046711147583,3.59274219449665,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,33.9772615587256,24.8845773201762,24.8845773201762,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"19","JYA04___Mar16",3,"JYA04_JYA04_L7_GOPR9897.MP4",18036,"JYA04_JYA04_R8_GOPR9895.MP4",17645,10.03002,NA,-1,929.09764,204.11324,-1993.44613,4.36786,1.48094,9.45911,4.43953,2208.78068,25.25164,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.232409955098832,0.232409955098832,2.25611989782897,2.20878068458796,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,54.1522345907179,4.70960428818404,4.70960428818404,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
"20","JYA04___Mar16",7,"JYA04_JYA04_L7_GOPR9897.MP4",19834,"JYA04_JYA04_R8_GOPR9895.MP4",19443,11.02991,NA,-1,-180.82606,133.32352,-2658.38519,1.56449,1.6865,16.19602,6.7178,2667.86151,4.17119,"Labridae","Choerodon","cyanodus",37384072,1,"AD","Passing","",NA,NA,"JYA","JY","A","Labridae:Choerodon:cyanodus",0.241998963183789,0.241998963183789,2.69717407839939,2.66786151128046,16.1188135326702,14.0652560275587,2.82425379294954,9.875759351935,58.8618388789017,25.5573325150135,33.3045063638883,25.5573325150135,3.4326828729143,0.780064506085512,1.71656342611734,1.76258526957637,4.44027344910638
